run_id,timestamp,time_relative_s,gpu_id,power_w,sm_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mb,memory_total_mb,temperature_c,stage
powertraces-pt100array_pt013_r2_7536299_22-21a654a7cd,2026-05-01T18:45:37.078Z,0.0,0,61.53,210,0,0,,,,
powertraces-pt100array_pt013_r2_7536299_22-21a654a7cd,2026-05-01T18:45:37.08Z,0.002,1,60.85,210,0,0,,,,
powertraces-pt100array_pt013_r2_7536299_22-21a654a7cd,2026-05-01T18:45:37.081Z,0.003,2,62.53,210,0,0,,,,
powertraces-pt100array_pt013_r2_7536299_22-21a654a7cd,2026-05-01T18:45:37.082Z,0.004,3,62.57,210,0,0,,,,
powertraces-pt100array_pt013_r2_7536299_22-21a654a7cd,2026-05-01T18:45:37.184Z,0.106,0,61.53,210,0,0,,,,
powertraces-pt100array_pt013_r2_7536299_22-21a654a7cd,2026-05-01T18:45:37.184Z,0.106,1,60.85,210,0,0,,,,
powertraces-pt100array_pt013_r2_7536299_22-21a654a7cd,2026-05-01T18:45:37.184Z,0.106,2,62.53,210,0,0,,,,
powertraces-pt100array_pt013_r2_7536299_22-21a654a7cd,2026-05-01T18:45:37.184Z,0.106,3,62.57,210,0,0,,,,
powertraces-pt100array_pt013_r2_7536299_22-21a654a7cd,2026-05-01T18:45:37.284Z,0.206,0,61.46,210,0,0,,,,
powertraces-pt100array_pt013_r2_7536299_22-21a654a7cd,2026-05-01T18:45:37.284Z,0.206,1,60.85,210,0,0,,,,
powertraces-pt100array_pt013_r2_7536299_22-21a654a7cd,2026-05-01T18:45:37.284Z,0.206,2,62.53,210,0,0,,,,
powertraces-pt100array_pt013_r2_7536299_22-21a654a7cd,2026-05-01T18:45:37.284Z,0.206,3,62.57,210,0,0,,,,
powertraces-pt100array_pt013_r2_7536299_22-21a654a7cd,2026-05-01T18:45:37.384Z,0.306,0,61.53,210,0,0,,,,
powertraces-pt100array_pt013_r2_7536299_22-21a654a7cd,2026-05-01T18:45:37.384Z,0.306,1,60.85,210,0,0,,,,
powertraces-pt100array_pt013_r2_7536299_22-21a654a7cd,2026-05-01T18:45:37.384Z,0.306,2,62.53,210,0,0,,,,
powertraces-pt100array_pt013_r2_7536299_22-21a654a7cd,2026-05-01T18:45:37.384Z,0.306,3,62.57,210,0,0,,,,
