run_id,timestamp,time_relative_s,gpu_id,power_w,sm_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mb,memory_total_mb,temperature_c,stage
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:32.506Z,0.0,0,75.27,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:32.508Z,0.002,1,73.75,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:32.509Z,0.003,2,76.23,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:32.511Z,0.005,3,76.78,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:32.613Z,0.107,0,75.28,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:32.613Z,0.107,1,73.72,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:32.613Z,0.107,2,76.25,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:32.613Z,0.107,3,76.78,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:32.713Z,0.207,0,75.27,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:32.713Z,0.207,1,73.73,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:32.713Z,0.207,2,76.25,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:32.713Z,0.207,3,76.77,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:32.813Z,0.307,0,75.27,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:32.813Z,0.307,1,73.71,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:32.813Z,0.307,2,76.26,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:32.813Z,0.307,3,76.78,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:32.913Z,0.407,0,75.24,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:32.913Z,0.407,1,73.76,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:32.913Z,0.407,2,76.26,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:32.913Z,0.407,3,76.79,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.013Z,0.507,0,75.24,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.013Z,0.507,1,73.74,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.013Z,0.507,2,76.26,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.013Z,0.507,3,76.79,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.113Z,0.607,0,75.26,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.113Z,0.607,1,73.76,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.113Z,0.607,2,76.26,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.113Z,0.607,3,76.77,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.213Z,0.707,0,75.25,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.213Z,0.707,1,73.72,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.214Z,0.708,2,76.25,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.214Z,0.708,3,76.79,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.314Z,0.808,0,75.22,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.314Z,0.808,1,73.75,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.314Z,0.808,2,76.25,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.314Z,0.808,3,76.78,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.414Z,0.908,0,75.21,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.414Z,0.908,1,73.75,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.414Z,0.908,2,76.24,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.414Z,0.908,3,76.77,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.514Z,1.008,0,75.22,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.514Z,1.008,1,73.73,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.514Z,1.008,2,76.23,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.514Z,1.008,3,76.76,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.614Z,1.108,0,75.2,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.614Z,1.108,1,73.74,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.614Z,1.108,2,76.23,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.614Z,1.108,3,76.74,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.714Z,1.208,0,75.19,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.714Z,1.208,1,73.75,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.714Z,1.208,2,76.23,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.714Z,1.208,3,76.75,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.815Z,1.309,0,75.19,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.815Z,1.309,1,73.76,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.815Z,1.309,2,76.23,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.815Z,1.309,3,76.74,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.915Z,1.409,0,75.23,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.915Z,1.409,1,73.72,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.915Z,1.409,2,76.25,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:33.915Z,1.409,3,76.75,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.015Z,1.509,0,75.24,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.015Z,1.509,1,73.75,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.015Z,1.509,2,76.25,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.015Z,1.509,3,76.76,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.115Z,1.609,0,75.21,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.115Z,1.609,1,73.74,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.115Z,1.609,2,76.25,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.115Z,1.609,3,76.76,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.215Z,1.709,0,75.21,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.215Z,1.709,1,73.76,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.215Z,1.709,2,76.25,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.215Z,1.709,3,76.76,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.315Z,1.809,0,75.21,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.315Z,1.809,1,73.72,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.315Z,1.809,2,76.26,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.315Z,1.809,3,76.79,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.415Z,1.909,0,75.24,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.415Z,1.909,1,73.75,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.415Z,1.909,2,76.25,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.415Z,1.909,3,76.79,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.516Z,2.01,0,75.24,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.516Z,2.01,1,73.72,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.516Z,2.01,2,76.27,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.516Z,2.01,3,76.8,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.616Z,2.11,0,75.24,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.616Z,2.11,1,73.72,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.616Z,2.11,2,76.26,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.616Z,2.11,3,76.81,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.716Z,2.21,0,75.25,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.716Z,2.21,1,73.7,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.716Z,2.21,2,76.24,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.716Z,2.21,3,76.81,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.816Z,2.31,0,75.24,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.816Z,2.31,1,73.73,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.816Z,2.31,2,76.25,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.816Z,2.31,3,76.8,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.916Z,2.41,0,75.23,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.916Z,2.41,1,73.72,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.916Z,2.41,2,76.25,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:34.916Z,2.41,3,76.78,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:35.016Z,2.51,0,75.23,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:35.016Z,2.51,1,73.71,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:35.016Z,2.51,2,76.25,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:35.016Z,2.51,3,76.76,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:35.117Z,2.611,0,75.23,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:35.117Z,2.611,1,73.72,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:35.117Z,2.611,2,76.24,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:35.117Z,2.611,3,76.79,345,0,0,,,,
powertraces-pt100array_pt017_r1_7536307_1-50f3a1a4a0,2026-05-07T10:02:35.217Z,2.711,0,75.24,345,0,0,,,,
