run_id,timestamp,time_relative_s,gpu_id,power_w,sm_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mb,memory_total_mb,temperature_c,stage
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:01.938Z,0.0,0,77.01,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:01.943Z,0.005,1,77.21,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:01.947Z,0.009,2,78.09,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:01.952Z,0.014,3,77.6,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.056Z,0.118,0,77.01,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.056Z,0.118,1,77.2,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.056Z,0.118,2,78.09,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.056Z,0.118,3,77.6,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.156Z,0.218,0,77.03,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.156Z,0.218,1,77.18,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.156Z,0.218,2,78.08,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.156Z,0.218,3,77.6,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.256Z,0.318,0,77.03,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.256Z,0.318,1,77.17,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.256Z,0.318,2,78.07,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.256Z,0.318,3,77.62,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.357Z,0.419,0,77.02,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.357Z,0.419,1,77.16,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.357Z,0.419,2,78.06,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.357Z,0.419,3,77.63,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.457Z,0.519,0,77.04,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.457Z,0.519,1,77.15,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.457Z,0.519,2,78.05,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.457Z,0.519,3,77.62,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.557Z,0.619,0,77.05,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.557Z,0.619,1,77.15,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.557Z,0.619,2,78.04,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.557Z,0.619,3,77.62,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.657Z,0.719,0,77.04,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.657Z,0.719,1,77.13,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.657Z,0.719,2,78.05,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.657Z,0.719,3,77.61,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.757Z,0.819,0,77.01,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.757Z,0.819,1,77.11,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.757Z,0.819,2,78.07,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.757Z,0.819,3,77.61,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.857Z,0.919,0,77.05,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.857Z,0.919,1,77.09,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.857Z,0.919,2,78.08,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.857Z,0.919,3,77.61,345,0,0,,,,
powertraces-pt200array_pt217_r2_7536322_2-376a52a8ac,2026-05-07T20:26:02.957Z,1.019,0,77.07,345,0,0,,,,
