run_id,timestamp,time_relative_s,gpu_id,power_w,sm_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mb,memory_total_mb,temperature_c,stage
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:02.489Z,0.0,0,82.5,345,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:02.49Z,0.001,1,33.26,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:02.491Z,0.002,2,35.01,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:02.492Z,0.003,3,33.93,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:02.593Z,0.104,0,82.5,345,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:02.593Z,0.104,1,33.26,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:02.593Z,0.104,2,35.01,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:02.593Z,0.104,3,33.93,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:02.693Z,0.204,0,79.77,225,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:02.693Z,0.204,1,33.26,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:02.693Z,0.204,2,35.01,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:02.693Z,0.204,3,33.93,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:02.793Z,0.304,0,79.77,225,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:02.793Z,0.304,1,33.26,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:02.793Z,0.304,2,35.01,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:02.793Z,0.304,3,33.93,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:02.894Z,0.405,0,79.77,225,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:02.894Z,0.405,1,33.26,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:02.894Z,0.405,2,35.01,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:02.894Z,0.405,3,33.93,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:02.994Z,0.505,0,79.77,225,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:02.994Z,0.505,1,33.26,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:02.994Z,0.505,2,35.01,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:02.994Z,0.505,3,33.93,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:03.094Z,0.605,0,79.77,225,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:03.094Z,0.605,1,33.26,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:03.094Z,0.605,2,35.01,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:03.094Z,0.605,3,33.93,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:03.194Z,0.705,0,79.77,225,0,0,,,,
